Americano/250;Американо маленький
Americano/350;Американо большой
Americano/Ice;Айс американо
Bambl;Бамбл
Bambl Tonic;Бамбл-тоник
Banana;Банановый милкшейк
Banana-Choco;Милкшейк банан-шоколад
BB/Hot;Бом Бон
BB/Hot/Almond;Бом Бон на миндальном молоке
BB/Hot/Coconut;Бом Бон на кокосовом молоке
BB/Ice;Холодный Бом Бон 
BB/Ice/Almond;Холодный Бом Бон на миндальном молоке
BB/Ice/Coconut;Холодный Бом Бон на кокосовом молоке
Cap/250;Капучино маленький
Cap/250/Almond;Капучино маленький на миндальном молоке
Cap/250/Hazelnut;Капучино маленький на фундучном молоке
Cap/250/Lactose_free;Капучино маленький на безлактозном молоке
Cap/250/Сoconut;Капучино маленький на кокосовом молоке
Cap/350;Капучино большой
Cap/350/Hazelnut;Капучино большой на фундучном молоке
Cap/350/Lactose_free;Капучино большой на безлактозном молоке
Cap/350/Аlmond;Капучино большой на миндальном молоке
Cap/350/Сoconut;Капучино большой на кокосовом молоке
Cap/Ice;Айс капучино
Cap/Ice/Almond;Айс капучино на миндальном молоке
Cap/Ice/Coconut;Айс капучино на кокосовом молоке
Cap/Ice/Hazelnut;Айс капучино на фундучном
Classic;Классический лимонад
Coffee Limonade;Кофейный лимонад
Doppio;Двойной эспрессо
East/Hot;Восточный
East/Ice;Холодный Восточный
El;Эль
English Tea;Инглиш
Espresso;Эспрессо
Frappuccino;Фраппучино
FW/250;Флэт уайт маленький
FW/250/Almond;Флэт уайт маленький на миндальном молоке
FW/250/Coconut;Флэт уайт маленький на кокосовом молоке
FW/250/Lactose_free;Флэт уайт маленький на безлактозном молоке
FW/350;Флэт уайт большой
FW/350/Almond;Флэт уайт большой на миндальном молоке
FW/350/Coconut;Флэт уайт большой на кокосовом молоке
FW/350/Lactose_free;Флэт уайт большой на безлактозном молоке
Ginger Tea/Hot;Имбирный чай
Ginger Tea/Ice;Холодный имбирный чай
Glasse;Гляссе
Halvichniy;Милкшейк Халва-Кофе
Hibis/Hot;Гибискус
Hibis/Ice;Холодный гибискус
HK/Hot;Гонконгский 
HK/Hot/Almond;Гонконгский на миндальном молоке
HK/Hot/Coconut;Гонконгский на кокосовом молоке
HK/Hot/Lactose_free;Гонконгский на безлактозном молоке
HK/Ice;Холодный гонконгский 
HK/Ice/Almond;Холодный гонконгский на миндальном молоке
HK/Ice/Coconut;Холодный гонконгский на кокосовом молоке
HK/Ice/Lactose_free;Холодный гонконгский на безлактозном молоке
Hot Choco;Шоколадное молоко
Ice Lattee Banana;Банановый айс латте
Ivan Tea/Hot;Иван-чай
Ivan Tea/Ice;Холодный иван-чай
Lat/250;Латте маленький
Lat/250/Almond;Латте маленький на миндальном молоке
Lat/250/Coconut;Латте маленький на кокосовом молоке
Lat/250/Hazelnut;Латте маленький на фундучном молоке
Lat/250/Lactose_free;Латте маленький на безлактозном молоке
Lat/350;Латте большой
Lat/350/Almond;Латте большой на миндальном молоке
Lat/350/Coconut;Латте большой на кокосовом молоке
Lat/350/Hazelnut;Латте большой на фундучном молоке
Lat/350/Lactose_free;Латте большой на безлактозном молоке
Lat/Ice;Айс латте
Lat/Ice/Almond;Айс латте на миндальном молоке
Lat/Ice/Coconut;Айс латте на кокосовом молоке
Lat/Ice/Hazelnut;Айс латте на фундучном молоке
Lavender raff;Лавандовый раф
Lemongrass/Hot;Лемонграсс
Lemongrass/Ice;Холодный лемонграсс
Massala Tea/Hot;Масала
Massala Tea/Ice;Холодная масала
Matcha Latte;Матча-латте
Matcha Latte/Almond;Матча-латте на миндальном молоке
Matcha Latte/Coconut;Матча-латте на кокосовом молоке
Matcha Latte/Ice;Холодный матча-латте
Matcha Latte/Ice/Almond;Холодный матча-латте на миндальном молоке
Matcha Latte/Ice/Coconut;Холодный матча-латте на кокосовом молоке
Matcha Latte/Ice/Lactose_free;Холодный матча-латте на безлактозном молоке
Matcha Latte/Lactosе_free;Матча-латте на безлактозном молоке
Mexican;Мексиканский
Milkshake (сироп на выбор);Классический милкшейк
Mint-Choco;Мятно-шоколадный кофе
Moch/250;Мокачино маленький
Moch/250/Almond;Мокачино маленький на миндальном молоке 
Moch/250/Coconut;Мокачино маленький на кокосовом молоке
Moch/250/Hazelnut;Мокачино маленький на фундучном молоке
Moch/250/Lactose_free;Мокачино маленький на безлактозном молоке
Moch/350;Мокачино большой 
Moch/350/Almond;Мокачино большой на миндальном молоке
Moch/350/Coconut;Мокачино большой на кокосовом молоке
Moch/350/Hazelnut;Мокачино большой на фундучном молоке
Moch/350/Lactose_free;Мокачино большой на безлактозном молоке
Moch/Ice;Айс мокачино 
Moch/Ice/Coconut;Айс мокачино на кокосовом молоке
Moch/Ice/Hazelnut;Айс мокачино на фундучном молоке
Moch/Ice/Аlmond;Айс мокачино на миндальном молоке
Mulled wine;Глинтвейн
Pina Colada;Пина колада
Pumpkin Latte;Тыквенный латте
RAF/250;Раф маленький
RAF/350;Раф большой
Raspberry tea;Малиновый чай
Sangria;Сангрия
True bambl;Тру Бамбл
True RAF/250;Раф на сливках маленький
True RAF/350;Раф на сливках большой
Urbech Raf;Дагестанский раф
Vietnamese;Вьетнамский
White Choco Matcha;Матча с белым шоколадом
